id,verb,bloomlvl
1,relate,3.34
2,select,3.09
3,compare,4.23
4,identify,2.04
5,explain,3
6,contrast,4.05
7,describe,1.87
8,appraise,5.05
9,predict,3.38
10,interpret,3.2
11,distinguish,3.26
12,summarise,3.5
13,illustrate,2.96
14,construct,4.67
15,classify,2.64
16,recognise,1.68
17,judge,5.26
18,differentiate,3.73
19,list,1
20,demonstrate,2.86
21,design,5.36
22,define,1
23,solve,3.39
24,defend,4.35
25,formulate,5
26,criticise,4.85
27,conclude,4.79
28,assess,5.31
29,discuss,2.21
30,name,1.08
31,organise,4.26
32,estimate,3.76
33,choose,4.08
34,plan,5.14
35,use,3.03
36,infer,3.08
37,examine,3.58
38,evaluate,5.51
39,develop,5.14
40,modify,4.43
41,create,5.24
42,outline,2.61
43,prepare,3.73
44,compose,5.24
45,translate,2
46,categorise,4.09
47,discriminate,4.88
48,operate,3
49,recall,1
50,justify,5.13
51,write,4.1
52,locate,1.76
53,argue,5.38
54,analyse,4
55,apply,3
56,question,4.21
57,state,1
58,report,2.41
59,revise,5.48
60,produce,3.93
61,experiment,3.96
62,support,5.46
63,rate,5.76
64,calculate,3.76
65,label,1
66,paraphrase,2.08
67,generalise,2.96
68,tell,3.04
69,arrange,3.38
70,test,4.38
71,repeat,1
72,sketch,3
73,change,3.36
74,show,2.73
75,match,1.05
76,express,2.14
77,extend,2.1
78,assemble,5.38
79,restate,2.45
80,rewrite,3.75
81,value,5.35
82,devise,5.15
83,compute,3
84,discover,3
85,generate,5.21
86,combine,5.16
87,separate,4
88,employ,3
89,memorise,1
90,review,2.5
91,collect,4.22
92,practice,3
93,convert,2
94,critique,5.29
95,order,2.76
96,schedule,3
97,manage,5.13
98,dramatise,3
99,diagram,3.87
100,propose,5.2
101,reproduce,1
102,duplicate,1
103,indicate,1.93
104,find,1.64
105,rearrange,5.29
106,invent,5.62
107,integrate,5
108,debate,4.31
109,implement,3.08
110,manipulate,3
111,present,2.58
112,record,1
113,exemplify,2.27
114,determine,4.36
115,measure,4.09
116,reconstruct,5.18
117,structure,4.82
118,subdivide,4
119,compile,5
120,hypothesise,5.2
121,synthesise,5.1
122,underline,1
