cui,preferred_name,semantic_types,token,frequency
C0205210,Clinical,qlco,Clinical,655
C0030705,Patients,podg,Patients,262
C0031843,physiological aspects,phsf,physiological aspects,245
C0441712,Mechanism (attribute),ftcn,Mechanism,243
C0449450,Presentation,idcn,Presentation,223
C0015127,Etiology aspects,ftcn,Etiology aspects,208
C1705810,Generic Role,qlco,Generic Role,205
C0220781,Anabolism,biof,Anabolism,186
C0392747,Changing,ftcn,Changing,179
C0750502,Significant,idcn,Significant,175
C1280500,Effect,qlco,Effect,162
C0087111,Therapeutic procedure,topp,Therapeutic procedure,159
C0699748,Pathogenesis,patf,Pathogenesis,152
C0443199,Differential quality,qlco,Differential quality,150
C0012634,Disease,dsyn,Disease,137
C0205164,Major,qlco,Major,136
C0542341,Function (attribute),ftcn,Function,135
C0332283,Followed by,tmco,Followed by,133
C0025320,Menopause,phsf,Menopause,131
C0439849,Relationships,qlco,Relationships,130
C0450429,Location,spco,Location,130
C0243107,development aspects,ftcn,development aspects,130
C0205214,Common (qualifier value),qnco,Common (qualifier value),127
C0009566,Complication,patf,Complication,118
C1314792,Etiology,ftcn,Etiology,115
C0013227,Pharmaceutical Preparations,phsu,Pharmaceutical Preparations,114
C0035648,risk factors,fndg,risk factors,114
C1524063,Use of,ftcn,Use of,112
C0007634,Cells,cell,Cells,110
C1524059,mechanism of action qualifier,ftcn,mechanism of action qualifier,104
C0851285,Regulation,gora,Regulation,99
C0033325,Forecast of outcome,hlca,Forecast of outcome,99
C1273870,Management procedure,ocac,Management procedure,94
C0022877,Laboratory,"hcro,mnob",Laboratory,88
C0035820,Social Role,socb,Social Role,85
C0011900,Diagnosis,diap,Diagnosis,85
C0587081,Laboratory test finding,lbtr,Laboratory test finding,85
C0205246,Generalized,spco,Generalized,79
C0205225,Primary,qlco,Primary,78
C0700329,Physical shape,fndg,Physical shape,78
C1261322,Evaluation procedure,hlca,Evaluation procedure,75
C0449432,Component object,mnob,Component object,73
C0233324,Term Birth,orgf,Term Birth,71
C0311392,Physical findings,fndg,Physical findings,71
C0011906,Differential Diagnosis,diap,Differential Diagnosis,71
C0686907,Consequence of,ftcn,Consequence of,70
C0018787,Heart,bpoc,Heart,69
C0879626,Adverse effects,patf,Adverse effects,68
C1274040,Result,ftcn,Result,66
C0178499,Base,chvf,Base,65
C1184743,bony process,bpoc,bony process,61
C0205448,Two,qnco,Two,58
C0205178,acute,tmco,acute,58
C0178784,Organ,bpoc,Organ,56
C0567416,Molecule,sbst,Molecule,56
C0681827,Laboratory Study,lbpr,Laboratory Study,56
C1280464,Manifestation of,qlco,Manifestation of,55
C0009924,Contrast Media,irda,Contrast Media,54
C1457887,Symptoms,sosy,Symptoms,54
C0005839,Blood supply aspects,qlco,Blood supply aspects,53
C0205307,Normal,qlco,Normal,52
C0023884,Liver,bpoc,Liver,52
C0450254,Pathogenic organism,orgm,Pathogenic organism,52
C1301732,Planned,ftcn,Planned,51
C0439659,Beginning,tmco,Beginning,50
C0457083,Usage,ftcn,Usage,50
C0332437,Morphology,qlco,Morphology,50
C0040300,Body tissue,tisu,Body tissue,49
C0392366,Tests (qualifier value),inpr,Tests (qualifier value),48
C0243161,criteria,idcn,criteria,48
C0332281,Associated with,qlco,Associated with,48
C0332282,Following,tmco,Following,47
C1272460,Not Applicable,qlco,Not Applicable,46
C0683368,Symptoms aspect,ftcn,Symptoms aspect,46
C1704711,Distribution,ftcn,Distribution,45
C0205369,Specific qualifier value,qlco,Specific qualifier value,45
C1261552,Step (specific stage),cnce,Step (specific stage),45
C0035647,Risk,idcn,Risk,45
C0001779,Age,orga,Age,45
C0441472,Clinical action,ftcn,Clinical action,45
C0205288,Microscopic (qualifier value),qlco,Microscopic (qualifier value),45
C0750729,Course,tmco,Course,45
C0022646,Kidney,bpoc,Kidney,44
C1301808,Geographic state,geoa,Geographic state,43
C0475264,localization,ftcn,localization,43
C0017296,gene therapy,topp,gene therapy,43
C0597357,receptor,"aapp,rcpt",receptor,42
C0543482,morphological,spco,morphological,42
C0086143,Diagnostic tests,diap,Diagnostic tests,42
C0205245,Functional,ftcn,Functional,41
C0392360,Indication of (contextual qualifier),idcn,Indication of (contextual qualifier),41
C0025519,Metabolism,orgf,Metabolism,41
C0026828,"Muscle innervation, function",ortf,"Muscle innervation, function",41
C0221198,Lesion,fndg,Lesion,41
C0450442,Agent,chvf,Agent,41
C0220908,Screening procedure,diap,Screening procedure,41
C0456387,Class,inpr,Class,40
C0443286,Reaction,ftcn,Reaction,38
C0024109,Lung,bpoc,Lung,37
C0449719,Part,spco,Part,37
C0027740,Nerve,bpoc,Nerve,37
C0019932,Hormones,horm,Hormones,37
C0220784,anatomic,qlco,anatomic,36
C0026845,Muscle Tissue,tisu,Muscle Tissue,36
C1171258,Complication Aspects,ftcn,Complication Aspects,36
C0439631,Primary operation,topp,Primary operation,35
C0005532,biology (field),bmod,biology (field),35
C0348026,Diagnostic,ftcn,Diagnostic,35
C0042449,Veins,bpoc,Veins,35
C0005847,Blood Vessel,bpoc,Blood Vessel,35
C0486616,Composition,qlco,Composition,34
C0033684,Proteins,"aapp,bacs",Proteins,34
C0026649,Movement,orgf,Movement,34
C0871161,Property (attribute),qlco,Property (attribute),34
C0026882,Mutation,genf,Mutation,34
C0679138,Expectations,idcn,Expectations,34
C0557651,Room of building - Study,mnob,Room of building - Study,34
C0021516,nerve supply,ortf,nerve supply,34
C0009450,Communicable Diseases,dsyn,Communicable Diseases,34
C0085732,Ability,orga,Ability,33
C0441471,Event,evnt,Event,33
C1521733,Pathologic,ftcn,Pathologic,33
C0205134,Curved,spco,Curved,33
C0449468,Volume,qnco,Volume,33
C1301624,Medical contraindication,fndg,Medical contraindication,33
C0014406,Environment,spco,Environment,33
C0233426,Personal appearance,orga,Personal appearance,33
C0449913,System,ftcn,System,32
C0449445,Approach,spco,Approach,32
C0348080,Condition,qlco,Condition,32
C0205463,Physiological,ftcn,Physiological,32
C0205177,Active,qlco,Active,31
C0014442,Enzymes,"aapp,enzy",Enzymes,31
C0032105,Plasma,bdsu,Plasma,31
C0282443,Review [Publication Type,inpr,Review [Publication Type,31
C0006104,Brain,bpoc,Brain,31
C0543483,pathogenic aspects,ftcn,pathogenic aspects,31
C0005528,Biological Transport,celf,Biological Transport,30
C0021641,Insulin,"aapp,horm,phsu",Insulin,30
C0521091,Confirmation of,qlco,Confirmation of,30
C0439596,Cyclical,tmco,Cyclical,29
C0262950,Skeletal bone,bpoc,Skeletal bone,29
C0205146,Area,spco,Area,28
C0086045,Mental concentration,menp,Mental concentration,28
C0205191,chronic,tmco,chronic,28
C0332149,Possible,fndg,Possible,28
C0398480,Drainage of lymphatics,topp,Drainage of lymphatics,28
C0205373,Systemic,ftcn,Systemic,28
C0030054,oxygen,"bacs,elii,phsu",oxygen,28
C0036536,Process of secretion,biof,Process of secretion,27
C0205148,Surface,spco,Surface,27
C0456205,Contents,cnce,Contents,27
C0376554,Knowledge,inpr,Knowledge,27
C2316983,Date of diagnosis,tmco,Date of diagnosis,27
C0008902,Classification,clas,Classification,27
C4284072,Order (record artifact),inpr,Order (record artifact),27
C2945843,Site of,spco,Site of,27
C1306459,Primary malignant neoplasm,neop,Primary malignant neoplasm,27
C0205474,Biochemical,ftcn,Biochemical,27
C0600661,Outlines (document),inpr,Outlines (document),27
C1273518,Responsible to (attribute),fndg,Responsible to (attribute),27
C0039082,Syndrome,dsyn,Syndrome,27
C0018684,Health,idcn,Health,27
C0003842,Arteries,bpoc,Arteries,27
C0017952,Glycolysis,moft,Glycolysis,27
C0017725,glucose,"bacs,orch,phsu",glucose,26
C2347023,Biological Absorption,orgf,Biological Absorption,26
C0024485,Magnetic Resonance Imaging,diap,Magnetic Resonance Imaging,26
C0014445,enzymology,ftcn,enzymology,25
C0205160,Negative,fndg,Negative,25
C0152060,Transection (procedure),topp,Transection (procedure),25
C0027651,Neoplasms,neop,Neoplasms,25
C0022023,Ions,elii,Ions,24
C0205145,Site,spco,Site,24
C0441889,Levels (qualifier value),qlco,Levels (qualifier value),24
C0205224,Essential,qlco,Essential,24
C0011849,Diabetes Mellitus,dsyn,Diabetes Mellitus,24
C0332157,Exposure to,qlco,Exposure to,24
C0031831,Physicians,prog,Physicians,24
C0014507,Epidemiology,bmod,Epidemiology,24
C0031847,physiopathological,ftcn,physiopathological,23
C0015684,Fatty Acids,orch,Fatty Acids,23
C0086287,Females,orga,Females,23
C0017337,Genes,gngm,Genes,23
C0042153,utilization qualifier,ftcn,utilization qualifier,23
C0025663,Methods,inpr,Methods,23
C0221102,Excretory function,phsf,Excretory function,23
C0205099,Central,spco,Central,23
C0022885,Laboratory Procedures,lbpr,Laboratory Procedures,22
C0002520,Amino Acids,"aapp,bacs,phsu",Amino Acids,22
C0348078,Qualitative form,qlco,Qualitative form,22
C0237401,Individual,popg,Individual,22
C0205462,Histologic,ftcn,Histologic,22
C0934502,anatomical layer,bpoc,anatomical layer,22
C0332148,Probable diagnosis,fndg,Probable diagnosis,22
C0030193,Pain,sosy,Pain,22
C0005768,In Blood,bdsu,In Blood,22
C0205469,Pathological aspects,ftcn,Pathological aspects,22
C0014508,epidemiologic,ftcn,epidemiologic,22
C1136170,Virulence Factors,"bacs,hops,orch",Virulence Factors,22
C0450407,ph+,fndg,ph+,21
C0086418,Homo sapiens,humn,Homo sapiens,21
C0728866,Drug effect,ftcn,Drug effect,21
C2745955,Occurrence,tmco,Occurrence,21
C0185125,Application procedure,topp,Application procedure,21
C0441729,Type 1,clas,Type 1,21
C1619351,innervation aspect,qlco,innervation aspect,21
C0449774,Patterns,spco,Patterns,21
C0449416,Source,fndg,Source,21
C1253959,Branch of,spco,Branch of,21
C0439806,Gross (qualifier value),qlco,Gross (qualifier value),21
C0006121,Brain Stem,bpoc,Brain Stem,21
C0031809,Physical Examination,hlca,Physical Examination,21
C0007610,Cell Nucleus,celc,Cell Nucleus,20
C0205250,High,qlco,High,20
C0033213,Problem,fndg,Problem,20
C0086582,Males,orga,Males,20
C0019046,Hemoglobin,"aapp,bacs",Hemoglobin,20
C0201734,Pharmacokinetic study,resa,Pharmacokinetic study,20
C0242692,Skeletal muscle structure,tisu,Skeletal muscle structure,20
C0243163,supply aspects,idcn,supply aspects,20
C0006726,"Calcium, Dietary",inch,"Calcium, Dietary",20
C0332325,Resistant (qualifier value),ftcn,Resistant (qualifier value),20
C0026531,Morality,idcn,Morality,20
C0012155,Diet,food,Diet,19
C0205447,One,qnco,One,19
C0598312,DNA Replication,genf,DNA Replication,19
C0032659,geographic population,qnco,geographic population,19
C1280519,Effectiveness,qlco,Effectiveness,19
C0007226,Cardiovascular system,bdsy,Cardiovascular system,19
C0700276,Anatomic structures,anst,Anatomic structures,19
C0229889,Lymphatic vessel,bpoc,Lymphatic vessel,19
C0012621,Body Fluid Discharge,bdsu,Body Fluid Discharge,19
C0923870,Anatomical location,spco,Anatomical location,19
C0013879,Elements,elii,Elements,19
C0348013,Venous,spco,Venous,19
C0687704,Motions,ftcn,Motions,19
C0030664,Pathology,bmod,Pathology,19
C0018017,objective (goal),inpr,objective (goal),19
C0042776,Virus,virs,Virus,19
C0040223,Time,tmco,Time,18
C0012854,DNA,"bacs,nnon",DNA,18
C0162327,RNA Sequence,nusq,RNA Sequence,18
C1304649,Tissue fiber,tisu,Tissue fiber,18
C0205101,Extrinsic,spco,Extrinsic,18
C0027361,Persons,popg,Persons,18
C0033268,production,ocac,production,18
